Word,Count
/,2072
the,832
=,657
to,547
</summary>,476
<summary>,476
{,473
},462
for,326
if,324
//,291
and,273
<param,256
a,245
of,243
is,233
in,225
public,202
ship,197
new,184
player,152
object,145
list,139
this,134
///,127
component,114
void,110
-,109
we,95
on,92
that,91
null),91
from,81
i,80
==,79
+,77
foreach,77
lobby,75
station,75
Create,72
components,70
as,66
<,66
*,64
within,62
be,62
with,61
Artificer,61
data,60
when,60
then,60
will,59
not,59
each,58
spawn,58
i++),58
all,56
it,56
game,55
!=,53
private,52
our,51
position,51
Set,50
objects,50
+=,50
create,50
team,49
now,48
else,48
have,47
server,47
are,47
Use,47
attributes,46
called,46
Add,46
Update,45
an,45
ID,45
return,45
by,44
Vector2,43
HUD,43
int,42
item,41
initialization,41
(;,40
piece,40
0;,39
set,39
has,39
distance,37
event,37
through,36
true;,35
add,34
false;,34
state,33
break;,33
only,32
Assign,32
Ship,31
reference,31
or,31
float,31
GameObject,31
<returns></returns>,31
currently,30
assign,30
<=,30
faction,30
out,30
case,30
ships,29
here,29
connected,29
protected,29
hit,29
If,29
client,29
Build,29
once,29
display,29
aField._symbols[i],29
<returns>The,28
frame,28
UI,28
segment,28
current,28
per,27
Store,27
socket,27
transform,26
key,26
button,26
return;,26
one,26
static,26
message,26
>=,25
panel,25
build,25
destroyed,25
null;,25
text,25
function,25
between,25
sockets,24
while,24
element,24
other,24
Called,24
already,24
controller,24
obj,23
store,23
update,23
target,23
space,23
can,22
-=,22
When,22
process,22
info,22
Adds,21
time,21
mission,21
Test,21
using,21
listener,21
\50f,\,21
need,21
local,21
,20
so,20
Builds,20
you,20
based,20
track,19
any,19
events,19
Player,19
Vector3,19
Find,19
amount,19
&&,19
change,19
exists,19
check,19
type,19
texture,19
bool,19
(MissionData,19
at,19
first,19
get,18
damage,18
use,18
enemy,18
clear,18
make,18
camera,18
mat,18
Initialize,18
Sets,18
material,18
e.g,18
them,18
null,18
outOfRange,18
parent,18
prefab,17
impact,17
around,17
storage,17
rect,17
mouse,17
existing,17
created,17
This,17
string,17
loop,17
(int,17
window,17
Get,17
been,17
just,17
disable,16
Check,16
functions,16
head,16
no,16
variables,16
class,16
pending,16
elements,16
want,16
behaviour,16
selected,16
items,16
asteroid,16
into,16
point,16
0),16
two,15
parameters,15
projectile,15
generator,15
test,15
up,15
should,15
stored,15
viewer,15
find,15
Creates,15
follow,15
stations,15
random,15
wreckage,15
go,15
integrity,14
assigned,14
range,14
start,14
friendly,14
information,14
was,14
next,14
vars,14
collider,14
angle,14
retrieve,14
bullet,14
remove,14
Spawns,13
spawner,13
base,13
Remove,13
left,13
Returns,13
direction,13
self,13
enemies,13
value,13
points,13
used,13
pos,13
eject,12
targets,12
emergency,12
right,12
Clear,12
Spawn,12
combat,12
destroy,12
(MaterialData,12
For,11
wData._symbols[i],11
host,11
requirements,11
(GameObject,11
List,11
spawns,11
collision,11
successfully,11
Retreive,11
_controller.RewardText.text,11
do,11
Stores,11
\200f,\,11
stores,11
controls,11
patrol,11
pieces,11
active,11
comp,11
instance,11
Server,11
Defined,10
empty,10
possible,10
Station,10
network,10
added,10
child,10
manager,10
location,10
visual,10
\"\\,10
FSM,10
debris,10
attack,10
GUI,10
callback,10
Finds,10
50f))));,10
running,10
Display,10
pass,10
continue;,10
\50f),\,10
The,10
move,10
middle,10
Retrieve,10
being,10
returns,10
interaction,10
corresponding,10
\Random.Range(-10,\,10
prefabs,10
load,9
materials,9
min,9
detect,9
Transform,9
\GameObject.Find("\_gui"\)\,9
its,9
IDs,9
group,9
(!outOfRange),9
away,9
tracking,9
colour,9
adds,9
too,9
available,9
Pass,9
steam,9
successful,9
creation,9
Steam,9
input,9
Component,9
under,9
Object,9
same,9
max,9
show,9
name,9
>,9
m,9
hide,8
resolution,8
FriendlySpawn.y,8
Raises,8
delay,8
popup,8
_newShip,8
before,8
Send,8
see,8
\position,\,8
style,8
filter,8
\name="\hit"\></param>\,8
players,8
We,8
also,8
Start,8
stop,8
Only,8
8);,8
Target;,8
screen,8
together,8
center,8
fsm,8
Game,8
enable,8
Random.Range(FriendlySpawn.y,8
Time.deltaTime;,8
Changed,8
MessageHUD.DisplayMessege(new,8
total,8
\0,0\,8
teams,8
count,8
which,8
every,8
functionality,8
Gets,8
retreive,8
canvas,8
closest,8
selection,8
Prefab,8
coroutine,8
Lobby,8
(Random.Range(FriendlySpawn.x,8
id,8
correct,8
mode,8
ShipData,8
system,8
FriendlySpawn.x,8
different,8
Base,8
nothing,8
sure,8
container,8
\[Random.Range(0,\,7
work,7
float>();,7
SHIP,7
displays,7
loops,7
Panel,7
clients,7
types,7
<c>true</c>,7
drag,7
Vector2();,7
sent,7
music,7
switch,7
planet,7
status,7
enabled,7
width,7
patrols,7
init,7
pick,7
SteamManager,7
size,7
values,7
AND,7
Updates,7
activity,7
Data,7
step,7
color,7
First,7
trigger,7
List<Transform>,7
Generate,7
amt,7
Elements,7
ShipGenerator,7
image,7
but,7
Text,7
down,7
Begin,7
BaseShipComponent,7
listens,7
close,7
respawn,7
Displays,7
MaterialData,7
changes,7
responsible,7
Keep,7
defined,7
don't,6
virtual,6
List<Transform>();,6
warp,6
know,6
adding,6
\Random.Range(2,\,6
click,6
user,6
colliders,6
initialize,6
(string,6
\string.Format("\\,6
height,6
:,6
Pick,6
timer,6
single,6
List<FSM>();,6
\Follow.Count)],\,6
script,6
their,6
Waves,6
surrogate,6
\SendMessage("\AddUIPiece"\,\,6
yet,6
take,6
Contract,6
FriendlySpawn),6
_util.DraggedObj,6
far,6
facing,6
10,6
rewardText.text,6
WaveTimer,6
over,6
SpawnTimer,6
tracker,6
more,6
temp,6
SegmentObjectBehaviour.Destroyed,6
own,6
Points,6
result,6
spawned,6
level,6
index,6
after,6
functioning,6
GetSpawnList();,6
radius,6
fight,6
apply,6
world,6
Call,6
pressed,6
Return,6
\name="\playerID"\></param>\,6
Mission,6
place,6
(_ship,6
menu,6
_shipGen;,6
top,6
(FSM,6
bSC,6
nodes,6
activate,6
connection,6
Place,6
contract,6
certain,6
applies,6
us,6
however,6
parts,6
Parent,6
_ships,6
cause,6
options,6
cycle,6
selector,6
\{1}\n"\,\,6
seconds,6
\go.GetComponent<SpawnerFollowBehaviour>().SetFollow(Follow[Random.Range(0,\,6
5);,6
Takes,6
gui,6
units,6
break,6
Do,6
tag,6
failed,6
comps),6
\(Vector2.Distance(pos,\,6
pos));,6
\Vector2.Distance(pos,\,6
Apply,6
override,6
fade,6
keys,6
particles,6
settings,6
particle,5
100;,5
than,5
beam,5
100f,5
Vector3.up);,5
join,5
0);,5
attempt,5
requirement,5
builds,5
could,5
listen,5
See,5
List<MissionData>();,5
Random.Range(homeStation.y,5
SegmentObject,5
leave,5
\name="\pLobby"\></param>\,5
would,5
fire,5
Run,5
reach,5
Max),5
Both,5
ACTIONS,5
hud,5
exist,5
connect,5
tracked,5
Update(),5
ignore,5
must,5
wave,5
newTex;,5
Used,5
delegate,5
updates,5
200f));,5
Receives,5
sprite,5
NPC,5
param),5
string[],5
version,5
dont,5
given,5
send,5
messages,5
circle,5
_shipGen.GenerateShip,5
SendMessageOptions.DontRequireReceiver);,5
invisible,5
Faction,5
whether,5
Wave,5
cargo,5
(ShipData,5
default,5
SpriteRenderer,5
200f),5
(Random.Range(homeStation.x,5
_factionActivity);,5
NOT,5
constructor,5
bottom,5
Message,5
spawn.SpawnType,5
method,5
editor,5
cursor,5
access,5
_controller.ObjectivesText.text,5
call,5
\10),\,5
triggers,5
yield,5
were,5
transition,5
actually,5
_ship.Ship,5
specific,5
Fade,5
No,5
actual,5
inMats),5
homeStation.x,5
Texture2D,5
tab,5
1,5
passed,5
well,5
-1;,5
determine,5
error,5
m_controller.CurrentState,5
Refresh,5
lists,5
does,5
removed,5
detection,5
shield,5
Event,5
Loop,5
Because,5
upon,5
Handles,5
callbacks,5
appearance,5
group.Ships),5
Enemy,5
List<MissionData>,5
(_ships,5
segments,5
newSpawnPoint.tag,5
body,5
Vars,5
Change,5
float>,5
without,5
