Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,251,31485,18642,10648,1963,5007,67,7836,27354,6,41
C:\Users\renderman\Documents\Artificer\Artificer\Assets\Scripts,251,31485,18642,10648,1963,5007,67,7836,27354,6,41
C:\Users\renderman\Documents\Artificer\Artificer\Assets\Scripts\AI,20,2105,1565,1005,163,350,1,190,786,0,0
C:\Users\renderman\Documents\Artificer\Artificer\Assets\Scripts\AI\AIAgentController,4,656,498,341,57,111,0,47,156,0,0
C:\Users\renderman\Documents\Artificer\Artificer\Assets\Scripts\AI\FiniteStateMachine,15,1376,1017,634,98,227,1,132,575,0,0
C:\Users\renderman\Documents\Artificer\Artificer\Assets\Scripts\AI\FiniteStateMachine\States,13,1087,835,536,77,187,1,65,244,0,0
C:\Users\renderman\Documents\Artificer\Artificer\Assets\Scripts\AI\Path-Finding,1,73,50,30,8,12,0,11,55,0,0
C:\Users\renderman\Documents\Artificer\Artificer\Assets\Scripts\Config,3,627,541,336,91,65,0,21,82,0,0
C:\Users\renderman\Documents\Artificer\Artificer\Assets\Scripts\Data,16,1303,744,433,110,181,7,378,1243,0,0
C:\Users\renderman\Documents\Artificer\Artificer\Assets\Scripts\Data\Shared,5,525,255,165,23,60,7,210,645,0,0
C:\Users\renderman\Documents\Artificer\Artificer\Assets\Scripts\Data\Space,11,778,489,268,87,121,0,168,598,0,0
C:\Users\renderman\Documents\Artificer\Artificer\Assets\Scripts\Data\Space\DataImporters,3,402,270,147,41,68,0,64,268,0,0
C:\Users\renderman\Documents\Artificer\Artificer\Assets\Scripts\Data\Space\Library,3,182,112,58,33,29,0,41,147,0,0
C:\Users\renderman\Documents\Artificer\Artificer\Assets\Scripts\Menu,36,3491,1958,1149,157,528,4,1005,3229,0,0
C:\Users\renderman\Documents\Artificer\Artificer\Assets\Scripts\Menu\Audio_Menu,1,92,67,41,12,10,0,15,55,0,0
C:\Users\renderman\Documents\Artificer\Artificer\Assets\Scripts\Menu\Control_Menu,4,235,154,95,9,41,0,40,167,0,0
C:\Users\renderman\Documents\Artificer\Artificer\Assets\Scripts\Menu\Matchmaker_Menu,16,1729,963,542,69,282,2,484,1846,0,0
C:\Users\renderman\Documents\Artificer\Artificer\Assets\Scripts\Menu\Matchmaker_Menu\Filter,2,88,64,36,2,17,0,7,33,0,0
C:\Users\renderman\Documents\Artificer\Artificer\Assets\Scripts\Menu\Matchmaker_Menu\Lobby,3,366,239,143,20,71,1,56,279,0,0
C:\Users\renderman\Documents\Artificer\Artificer\Assets\Scripts\Menu\Matchmaker_Menu\LobbyList,2,134,87,45,10,29,0,18,69,0,0
C:\Users\renderman\Documents\Artificer\Artificer\Assets\Scripts\Menu\Matchmaker_Menu\Prefabs,4,302,209,125,18,50,0,43,180,0,0
C:\Users\renderman\Documents\Artificer\Artificer\Assets\Scripts\Menu\Offline_Menu,6,799,320,193,23,100,2,379,884,0,0
C:\Users\renderman\Documents\Artificer\Artificer\Assets\Scripts\Menu\Server_Menu,1,32,22,12,0,6,0,4,16,0,0
C:\Users\renderman\Documents\Artificer\Artificer\Assets\Scripts\Menu\Tab_Menu,1,56,45,26,8,6,0,5,17,0,0
C:\Users\renderman\Documents\Artificer\Artificer\Assets\Scripts\Menu\Video_Menu,3,244,163,103,7,42,0,39,134,0,0
C:\Users\renderman\Documents\Artificer\Artificer\Assets\Scripts\ShipEditor,30,4043,2472,1490,327,503,33,1068,3343,0,0
C:\Users\renderman\Documents\Artificer\Artificer\Assets\Scripts\ShipEditor\Prefabs,6,504,383,262,39,68,1,53,186,0,0
C:\Users\renderman\Documents\Artificer\Artificer\Assets\Scripts\ShipEditor\ShipInfastructure,13,2552,1469,826,222,284,31,799,2537,0,0
C:\Users\renderman\Documents\Artificer\Artificer\Assets\Scripts\ShipEditor\ShipInfastructure\Components,4,937,651,370,110,111,24,175,756,0,0
